year,state,party,name,inc,party_formal,candidatevotes
2008,IL,R,"MCCAIN, JOHN S.",0,R,2031179
2008,IN,D,"OBAMA, BARACK",0,D,1374039
2008,IN,Lbt,"BARR, BOB",0,Lbt,29257
2008,IN,R,"MCCAIN, JOHN S.",0,R,1345648
2008,KS,D,"OBAMA, BARACK",0,D,514765
2008,KS,Lbt,"BARR, BOB",0,Lbt,6706
2008,KS,Other,"BALDWIN, CHARLES (CHUCK)",0,Reform Party,4148
2008,KS,Other,"NADER, RALPH",0,Independent,10598
2008,KS,R,"MCCAIN, JOHN S.",0,R,699655
2008,KY,D,"OBAMA, BARACK",0,D,751985
2008,KY,Lbt,"BARR, BOB",0,Lbt,5989
2008,KY,Other,"BALDWIN, CHARLES (CHUCK)",0,Constitution Party,4694
2008,KY,Other,"NADER, RALPH",0,Independent,15378
2008,KY,R,"MCCAIN, JOHN S.",0,R,1048462
2008,LA,D,"OBAMA, BARACK",0,D,782989
2008,LA,Other,"AMONDSON, GENE",0,Prohibition,275
2008,LA,Other,"BALDWIN, CHARLES (CHUCK)",0,Constitution Party,2581
2008,LA,Other,"HARRIS, JAMES",0,Socialist Workers,735
2008,LA,Other,"LA RIVA, GLORIA ESTELLA",0,Socialism And Liberation Party,354
2008,LA,Other,"MCKINNEY, CYNTHIA",0,Grn,9187
2008,LA,Other,"NADER, RALPH",0,Independent,6997
2008,LA,Other,"PAUL, RONALD E. (RON)",0,Louisiana Taxpayers Party,9368
2008,LA,R,"MCCAIN, JOHN S.",0,R,1148275
2008,MA,D,"OBAMA, BARACK",0,D,1904097
2008,MA,Lbt,"BARR, BOB",0,Lbt,13189
2008,MA,Other,"BALDWIN, CHARLES (CHUCK)",0,Constitution Party,4971
2008,MA,Other,"MCKINNEY, CYNTHIA",0,Grn,6550
2008,MA,Other,"NADER, RALPH",0,Independent,28841
2008,MA,R,"MCCAIN, JOHN S.",0,R,1108854
2008,MD,D,"OBAMA, BARACK",0,D,1629467
2008,MD,Lbt,"BARR, BOB",0,Lbt,9842
2008,MD,Other,"BALDWIN, CHARLES (CHUCK)",0,Constitution Party,3760
2008,MD,Other,"MCKINNEY, CYNTHIA",0,Grn,4747
2008,MD,Other,"NADER, RALPH",0,Independent,14713
2008,MD,R,"MCCAIN, JOHN S.",0,R,959862
2008,ME,D,"OBAMA, BARACK",0,D,421923
2008,ME,Other,"MCKINNEY, CYNTHIA",0,Grn,2900
2008,ME,Other,"NADER, RALPH",0,Independent,10636
2008,ME,R,"MCCAIN, JOHN S.",0,R,295273
2008,MI,D,"OBAMA, BARACK",0,D,2872579
2008,MI,Lbt,"BARR, BOB",0,Lbt,23716
2008,MI,Other,"BALDWIN, CHARLES (CHUCK)",0,U.s. Taxpayers Party,14685
2008,MI,Other,"MCKINNEY, CYNTHIA",0,Grn,8892
2008,MI,Other,"NADER, RALPH",0,Natural Law,33085
2008,MI,R,"MCCAIN, JOHN S.",0,R,2048639
2008,MN,D,"OBAMA, BARACK",0,D,1573354
2008,MN,Lbt,"BARR, BOB",0,Lbt,9174
2008,MN,Other,"BALDWIN, CHARLES (CHUCK)",0,Constitution Party,6787
2008,MN,Other,"CALERO, ROGER",0,Socialist Workers,790
2008,MN,Other,"MCKINNEY, CYNTHIA",0,Grn,5174
2008,MN,Other,"NADER, RALPH",0,Independent,30152
2008,MN,R,"MCCAIN, JOHN S.",0,R,1275409
2008,MO,D,"OBAMA, BARACK",0,D,1441911
2008,MO,Lbt,"BARR, BOB",0,Lbt,11386
2008,MO,Other,"BALDWIN, CHARLES (CHUCK)",0,Constitution Party,8201
2008,MO,Other,"NADER, RALPH",0,Independent,17813
2008,MO,R,"MCCAIN, JOHN S.",0,R,1445814
2008,MS,D,"OBAMA, BARACK",0,D,554662
2008,MS,Lbt,"BARR, BOB",0,Lbt,2529
2008,MS,Other,"BALDWIN, CHARLES (CHUCK)",0,Constitution Party,2551
2008,MS,Other,"MCKINNEY, CYNTHIA",0,Grn,1034
2008,MS,Other,"NADER, RALPH",0,Independent,4011
2008,MS,Other,"WEILL, TED",0,Reform Party,481
2008,MS,R,"MCCAIN, JOHN S.",0,R,724597
2008,MT,D,"OBAMA, BARACK",0,D,231667
2008,MT,Lbt,"BARR, BOB",0,Lbt,1355
2008,MT,Other,"NADER, RALPH",0,Independent,3686
2008,MT,Other,"PAUL, RONALD E. (RON)",0,Constitution Party,10638
2008,MT,R,"MCCAIN, JOHN S.",0,R,242763
2008,NC,D,"OBAMA, BARACK",0,D,2142651
2008,NC,Lbt,"BARR, BOB",0,Lbt,25722
2008,NC,R,"MCCAIN, JOHN S.",0,R,2128474
2008,ND,D,"OBAMA, BARACK",0,D,141278
2008,ND,Lbt,"BARR, BOB",0,Lbt,1354
2008,ND,Other,"BALDWIN, CHARLES (CHUCK)",0,Constitution Party,1199
2008,ND,Other,"NADER, RALPH",0,Independent,4189
2008,ND,R,"MCCAIN, JOHN S.",0,R,168601
2008,NE,D,"OBAMA, BARACK",0,D,333319
2008,NE,Lbt,"BARR, BOB",0,Lbt,2740
2008,NE,Other,"BALDWIN, CHARLES (CHUCK)",0,Nebraska Party,2972
2008,NE,Other,"MCKINNEY, CYNTHIA",0,Grn,1028
2008,NE,Other,"NADER, RALPH",0,Independent,5406
2008,NE,R,"MCCAIN, JOHN S.",0,R,452979
2008,NH,D,"OBAMA, BARACK",0,D,384826
2008,NH,Lbt,"BARR, BOB",0,Lbt,2748
2008,NH,Other,"NADER, RALPH",0,Independent,3503
2008,NH,R,"MCCAIN, JOHN S.",0,R,316534
2008,NJ,D,"OBAMA, BARACK",0,D,2215422
2008,NJ,Lbt,"BARR, BOB",0,Lbt,8441
2008,NJ,Other,"BALDWIN, CHARLES (CHUCK)",0,Constitution Party,3956
2008,NJ,Other,"BOSS, JEFFERY",0,Vote Here,639
2008,NJ,Other,"CALERO, ROGER",0,Socialist Workers,523
2008,NJ,Other,"LA RIVA, GLORIA ESTELLA",0,Socialism And Liberation Party,416
2008,NJ,Other,"MCKINNEY, CYNTHIA",0,Grn,3636
2008,NJ,Other,"MOORE, BRIAN",0,Socialist,699
2008,NJ,Other,"NADER, RALPH",0,Independent,21298
2008,NJ,R,"MCCAIN, JOHN S.",0,R,1613207
2008,NM,D,"OBAMA, BARACK",0,D,472422
2008,NM,Lbt,"BARR, BOB",0,Lbt,2428
2008,NM,Other,"BALDWIN, CHARLES (CHUCK)",0,Constitution Party,1597
2008,NM,Other,"MCKINNEY, CYNTHIA",0,Grn,1552
2008,NM,Other,"NADER, RALPH",0,Independent,5327
2008,NM,R,"MCCAIN, JOHN S.",0,R,346832
2008,NV,D,"OBAMA, BARACK",0,D,533736
2008,NV,Lbt,"BARR, BOB",0,Lbt,4263
2008,NV,Other,"BALDWIN, CHARLES (CHUCK)",0,Independent American,3194
2008,NV,Other,"MCKINNEY, CYNTHIA",0,Grn,1411
2008,NV,Other,"NADER, RALPH",0,Independent,6150
