year,state,party,name,inc,party_formal,candidatevotes
2012,MN,D,"OBAMA, BARACK",1,Democratic-Farmer-Labor,1546167
2012,MN,Lbt,"JOHNSON, GARY",0,Lbt,35098
2012,MN,Other,"ANDERSON, ROSS CARL (ROCKY)",0,Justice,1996
2012,MN,Other,"CARLSON, JIM",0,Grassroots,3149
2012,MN,Other,"GOODE, VIRGIL HAMLIN, JR.",0,Constitution Party,3722
2012,MN,Other,"HARRIS, JAMES",0,Socialist Workers,1051
2012,MN,Other,"LINDSAY, PETA",0,Socialism And Liberation Party,397
2012,MN,Other,"MORSTAD, DEAN",0,Constitutional Government,1092
2012,MN,Other,"STEIN, JILL",0,Grn,13023
2012,MN,R,"ROMNEY, MITT",0,R,1320225
2012,MO,D,"OBAMA, BARACK",1,D,1223796
2012,MO,Lbt,"JOHNSON, GARY",0,Lbt,43151
2012,MO,Other,"GOODE, VIRGIL HAMLIN, JR.",0,Constitution Party,7936
2012,MO,R,"ROMNEY, MITT",0,R,1482440
2012,MS,D,"OBAMA, BARACK",1,D,562949
2012,MS,Lbt,"JOHNSON, GARY",0,Lbt,6676
2012,MS,Other,"GOODE, VIRGIL HAMLIN, JR.",0,Constitution Party,2609
2012,MS,Other,"STEIN, JILL",0,Grn,1588
2012,MS,Other,"WASHER, BARBARA DALE",0,Reform Party,1016
2012,MS,R,"ROMNEY, MITT",0,R,710746
2012,MT,D,"OBAMA, BARACK",1,D,201839
2012,MT,Lbt,"JOHNSON, GARY",0,Lbt,14165
2012,MT,R,"ROMNEY, MITT",0,R,267928
2012,NC,D,"OBAMA, BARACK",1,D,2178391
2012,NC,Lbt,"JOHNSON, GARY",0,Lbt,44515
2012,NC,R,"ROMNEY, MITT",0,R,2270395
2012,ND,D,"OBAMA, BARACK",1,D,124966
2012,ND,Lbt,"JOHNSON, GARY",0,Lbt,5238
2012,ND,Other,"GOODE, VIRGIL HAMLIN, JR.",0,Constitution Party,1186
2012,ND,Other,"STEIN, JILL",0,Grn,1362
2012,ND,R,"ROMNEY, MITT",0,R,188320
2012,NE,D,"OBAMA, BARACK",1,D,302081
2012,NE,Lbt,"JOHNSON, GARY",0,Lbt,11109
2012,NE,Other,NA,0,Nominated By Petition,2408
2012,NE,R,"ROMNEY, MITT",0,R,475064
2012,NH,D,"OBAMA, BARACK",1,D,369561
2012,NH,Lbt,"JOHNSON, GARY",0,Lbt,8212
2012,NH,Other,"GOODE, VIRGIL HAMLIN, JR.",0,Constitution Party,708
2012,NH,R,"ROMNEY, MITT",0,R,329918
2012,NJ,D,"OBAMA, BARACK",1,D,2122786
2012,NJ,Lbt,"JOHNSON, GARY",0,Lbt,21035
2012,NJ,Other,"ANDERSON, ROSS CARL (ROCKY)",0,Justice,1723
2012,NJ,Other,"BOSS, JEFFERY",0,Nsa Did 911,1024
2012,NJ,Other,"GOODE, VIRGIL HAMLIN, JR.",0,Constitution Party,2063
2012,NJ,Other,"HARRIS, JAMES",0,Socialist Workers,709
2012,NJ,Other,"LINDSAY, PETA",0,Socialism And Liberation Party,521
2012,NJ,Other,"MILLER, MERLIN",0,American Third Position,664
2012,NJ,Other,"STEIN, JILL",0,Grn,9886
2012,NJ,R,"ROMNEY, MITT",0,R,1478088
2012,NM,D,"OBAMA, BARACK",1,D,415335
2012,NM,Lbt,"JOHNSON, GARY",0,Lbt,27788
2012,NM,Other,"GOODE, VIRGIL HAMLIN, JR.",0,Constitution Party,982
2012,NM,Other,"STEIN, JILL",0,Grn,2691
2012,NM,Other,NA,0,New Mexico Independent Party,1174
2012,NM,R,"ROMNEY, MITT",0,R,335788
2012,NV,D,"OBAMA, BARACK",1,D,531373
2012,NV,Lbt,"JOHNSON, GARY",0,Lbt,10968
2012,NV,Other,"GOODE, VIRGIL HAMLIN, JR.",0,Independent American,3240
2012,NV,R,"ROMNEY, MITT",0,R,463567
2012,NY,D,"OBAMA, BARACK",1,"D, Working Families",4471871
2012,NY,Lbt,"JOHNSON, GARY",0,Lbt,47092
2012,NY,Other,"GOODE, VIRGIL HAMLIN, JR.",0,Constitution Party,6270
2012,NY,Other,"LINDSAY, PETA",0,Socialism And Liberation Party,2039
2012,NY,Other,"STEIN, JILL",0,Grn,39856
2012,NY,R,"ROMNEY, MITT",0,"R, Conservative",2485432
2012,OH,D,"OBAMA, BARACK",1,D,2827621
2012,OH,Lbt,"JOHNSON, GARY",0,Lbt,49493
2012,OH,Other,"ALEXANDER, STEWART",0,Socialist,2967
2012,OH,Other,"DUNCAN, RICHARD",0,Independent,12502
2012,OH,Other,"GOODE, VIRGIL HAMLIN, JR.",0,Constitution Party,8151
2012,OH,Other,"STEIN, JILL",0,Grn,18574
2012,OH,R,"ROMNEY, MITT",0,R,2661407
2012,OK,D,"OBAMA, BARACK",1,D,443547
2012,OK,R,"ROMNEY, MITT",0,R,891325
2012,OR,D,"OBAMA, BARACK",1,D,970488
2012,OR,Lbt,"JOHNSON, GARY",0,Lbt,24089
2012,OR,Other,"ANDERSON, ROSS CARL (ROCKY)",0,Progressive,3384
2012,OR,Other,"CHRISTENSEN, WILL",0,Constitution Party,4432
2012,OR,Other,"STEIN, JILL",0,Pacific Green,19427
2012,OR,R,"ROMNEY, MITT",0,R,754175
2012,PA,D,"OBAMA, BARACK",1,D,2990274
2012,PA,Lbt,"JOHNSON, GARY",0,Lbt,49991
2012,PA,Other,"STEIN, JILL",0,Grn,21341
2012,PA,R,"ROMNEY, MITT",0,R,2680434
2012,RI,D,"OBAMA, BARACK",1,D,279677
2012,RI,Lbt,"JOHNSON, GARY",0,Lbt,4388
2012,RI,Other,"ANDERSON, ROSS CARL (ROCKY)",0,Justice,416
2012,RI,Other,"GOODE, VIRGIL HAMLIN, JR.",0,Constitution Party,430
2012,RI,Other,"LINDSAY, PETA",0,Socialism And Liberation Party,132
2012,RI,Other,"STEIN, JILL",0,Grn,2421
2012,RI,R,"ROMNEY, MITT",0,R,157204
2012,SC,D,"OBAMA, BARACK",1,D,865941
2012,SC,Lbt,"JOHNSON, GARY",0,Lbt,16321
2012,SC,Other,"GOODE, VIRGIL HAMLIN, JR.",0,Constitution Party,4765
2012,SC,Other,"STEIN, JILL",0,Grn,5446
2012,SC,R,"ROMNEY, MITT",0,R,1071645
2012,SD,D,"OBAMA, BARACK",1,D,145039
2012,SD,Lbt,"JOHNSON, GARY",0,Lbt,5795
2012,SD,Other,"GOODE, VIRGIL HAMLIN, JR.",0,Constitution Party,2371
2012,SD,R,"ROMNEY, MITT",0,R,210610
2012,TN,D,"OBAMA, BARACK",1,D,960709
2012,TN,Other,"GOODE, VIRGIL HAMLIN, JR.",0,Constitution Party,6022
2012,TN,Other,"STEIN, JILL",0,Grn,6515
2012,TN,Other,NA,0,Independent,23001
2012,TN,R,"ROMNEY, MITT",0,R,1462330
2012,TX,D,"OBAMA, BARACK",1,D,3308124
2012,TX,Lbt,"JOHNSON, GARY",0,Lbt,88580
2012,TX,Other,"STEIN, JILL",0,Grn,24657
2012,TX,R,"ROMNEY, MITT",0,R,4569843
2012,UT,D,"OBAMA, BARACK",1,D,251813
2012,UT,Lbt,"JOHNSON, GARY",0,Lbt,12572
2012,UT,Other,"ANDERSON, ROSS CARL (ROCKY)",0,Justice,5335
2012,UT,Other,"GOODE, VIRGIL HAMLIN, JR.",0,Constitution Party,2871
2012,UT,Other,"STEIN, JILL",0,Grn,3817
2012,UT,Other,NA,0,No Party Affiliation,393
2012,UT,R,"ROMNEY, MITT",0,R,740600
2012,VA,D,"OBAMA, BARACK",1,D,1971820
2012,VA,Lbt,"JOHNSON, GARY",0,Lbt,31216
2012,VA,Other,"GOODE, VIRGIL HAMLIN, JR.",0,Constitution Party,13058
2012,VA,Other,"STEIN, JILL",0,Grn,8627
2012,VA,R,"ROMNEY, MITT",0,R,1822522
2012,VT,D,"OBAMA, BARACK",1,D,199239
2012,VT,Lbt,"JOHNSON, GARY",0,Lbt,3487
2012,VT,Other,"ANDERSON, ROSS CARL (ROCKY)",0,Justice,1128
2012,VT,Other,"LINDSAY, PETA",0,Socialism And Liberation Party,695
2012,VT,R,"ROMNEY, MITT",0,R,92698
2012,WA,D,"OBAMA, BARACK",1,D,1755396
2012,WA,Lbt,"JOHNSON, GARY",0,Lbt,42202
2012,WA,Other,"ANDERSON, ROSS CARL (ROCKY)",0,Justice,4946
2012,WA,Other,"GOODE, VIRGIL HAMLIN, JR.",0,Constitution Party,8851
2012,WA,Other,"HARRIS, JAMES",0,Socialist Workers,1205
2012,WA,Other,"LINDSAY, PETA",0,Socialism And Liberation Party,1318
2012,WA,Other,"STEIN, JILL",0,Grn,20928
2012,WA,R,"MITT, ROMNEY",0,R,1290670
2012,WI,D,"OBAMA, BARACK",1,D,1620985
2012,WI,Other,"GOODE, VIRGIL HAMLIN, JR.",0,Constitution Party,4930
2012,WI,Other,NA,0,Independent,29383
2012,WI,R,"ROMNEY, MITT",0,R,1410966
2012,WV,D,"OBAMA, BARACK",1,D,238269
2012,WV,Lbt,"JOHNSON, GARY",0,Lbt,6302
2012,WV,Other,"STEIN, JILL",0,Mountain Party,4406
2012,WV,Other,NA,0,No Party Affiliation,3806
2012,WV,R,"ROMNEY, MITT",0,R,417655
2012,WY,D,"OBAMA, BARACK",1,D,69286
2012,WY,Lbt,"JOHNSON, GARY",0,Lbt,5326
2012,WY,Other,"GOODE, VIRGIL HAMLIN, JR.",0,Constitution Party,1452
2012,WY,R,"ROMNEY, MITT",0,R,170962
2016,AK,D,"CLINTON, HILLARY",0,D,116454
2016,AK,Lbt,"JOHNSON, GARY",0,Lbt,18725
2016,AK,Other,"CASTLE, DARRELL L.",0,Constitution Party,3866
2016,AK,Other,"DE LA FUENTE, ROQUE (ROCKY)",0,No Party Affiliation,1240
2016,AK,Other,"STEIN, JILL",0,Grn,5735
2016,AK,R,"TRUMP, DONALD J.",0,R,163387
2016,AL,D,"CLINTON, HILLARY",0,D,729547
2016,AL,Lbt,"JOHNSON, GARY",0,Lbt,44467
2016,AL,Other,"STEIN, JILL",0,Grn,9391
2016,AL,R,"TRUMP, DONALD J.",0,R,1318255
2016,AR,D,"CLINTON, HILLARY",0,D,380494
2016,AR,Lbt,"JOHNSON, GARY",0,Lbt,29829
2016,AR,Other,"CASTLE, DARRELL L.",0,Constitution Party,4613
2016,AR,Other,"HEDGES, JIM",0,Prohibition,4709
2016,AR,Other,"KAHN, LYNN S.",0,Independent,3390
2016,AR,Other,"MCMULLIN, EVAN",0,Better For America,13255
2016,AR,Other,"STEIN, JILL",0,Grn,9473
2016,AR,R,"TRUMP, DONALD J.",0,R,684872
2016,AZ,D,"CLINTON, HILLARY",0,D,1161167
2016,AZ,Lbt,"JOHNSON, GARY",0,Lbt,106327
2016,AZ,Other,"STEIN, JILL",0,Grn,34345
2016,AZ,R,"TRUMP, DONALD J.",0,R,1252401
2016,CA,D,"CLINTON, HILLARY",0,D,8753788
2016,CA,Lbt,"JOHNSON, GARY",0,Lbt,478500
2016,CA,Other,"LA RIVA, GLORIA ESTELLA",0,Peace & Freedom,66101
2016,CA,Other,"STEIN, JILL",0,Grn,278657
2016,CA,R,"TRUMP, DONALD J.",0,R,4483810
2016,CO,D,"CLINTON, HILLARY",0,D,1338870
2016,CO,Lbt,"JOHNSON, GARY",0,Lbt,144121
2016,CO,Other,"ATWOOD, FRANK",0,Approval Voting Party,337
2016,CO,Other,"CASTLE, DARRELL L.",0,American Constitution Party,11699
2016,CO,Other,"DE LA FUENTE, ROQUE (ROCKY)",0,American Delta Party,1255
2016,CO,Other,"EMIDIO (MIMI"""", SOLTYSIK",0,Socialist Party Usa,271
2016,CO,Other,"HEDGES, JAMES",0,Prohibition,185
2016,CO,Other,"HOEFLING, TOM",0,America's Party,710
2016,CO,Other,"KENISTON, CHRIS",0,Veterans Party Of America,5028
2016,CO,Other,"KENNEDY, ALYSON",0,Socialist Workers,452
2016,CO,Other,"KOPITKE, KYLE KENLEY",0,Independent American,1096
2016,CO,Other,"KOTLIKOFF, LAURENCE",0,Kotlikoff For President,392
2016,CO,Other,"LA RIVA, GLORIA ESTELLA",0,Socialism And Liberation Party,531
2016,CO,Other,"LYTTLE, BRADFORD",0,Nonviolent Resistance/Pacifist,382
2016,CO,Other,"MALDONADO, JOSEPH ALLEN",0,Independent People Of Colorado,872
2016,CO,Other,"MATUREN, MICHAEL A.",0,American Solidarity Party,862
2016,CO,Other,SCATTERING,0,Unaffiliated,31485
2016,CO,Other,"SILVA, ROD",0,Nutrition Party,751
2016,CO,Other,"STEIN, JILL",0,Grn,38437
2016,CO,R,"TRUMP, DONALD J.",0,R,1202484
2016,CT,D,"CLINTON, HILLARY",0,D,897572
2016,CT,Lbt,"JOHNSON, GARY",0,Lbt,48676
2016,CT,Other,"STEIN, JILL",0,Grn,22841
2016,CT,R,"TRUMP, DONALD J.",0,R,673215
2016,DC,D,"CLINTON, HILLARY",0,D,282830
2016,DC,Lbt,"JOHNSON, GARY",0,Lbt,4906
2016,DC,Other,"STEIN, JILL",0,Grn,4258
2016,DC,R,"TRUMP, DONALD J.",0,R,12723
2016,DE,D,"CLINTON, HILLARY",0,D,235603
2016,DE,Lbt,"JOHNSON, GARY",0,Lbt,14757
2016,DE,Other,"STEIN, JILL",0,Grn,6103
2016,DE,R,"TRUMP, DONALD J.",0,R,185127
2016,FL,D,"CLINTON, HILLARY",0,D,4504975
2016,FL,Lbt,"JOHNSON, GARY",0,Lbt,207043
2016,FL,Other,"CASTLE, DARRELL L.",0,Constitution Party,16475
2016,FL,Other,"DE LA FUENTE, ROQUE (ROCKY)",0,Reform Party,9108
2016,FL,Other,"STEIN, JILL",0,Grn,64399
2016,FL,R,"TRUMP, DONALD J.",0,R,4617886
2016,GA,D,"CLINTON, HILLARY",0,D,1877963
2016,GA,Lbt,"JOHNSON, GARY",0,Lbt,125306
2016,GA,R,"TRUMP, DONALD J.",0,R,2089104
2016,HI,D,"CLINTON, HILLARY",0,D,266891
2016,HI,Lbt,"JOHNSON, GARY",0,Lbt,15954
2016,HI,Other,"CASTLE, DARRELL L.",0,Constitution Party,4508
2016,HI,Other,"STEIN, JILL",0,Grn,12737
2016,HI,R,"TRUMP, DONALD J.",0,R,128847
2016,IA,D,"CLINTON, HILLARY",0,D,653669
2016,IA,Lbt,"JOHNSON, GARY",0,Lbt,59186
2016,IA,Other,"CASTLE, DARRELL L.",0,Constitution Party,5335
2016,IA,Other,"KAHN, LYNN S.",0,New Independent Party Iowa,2247
2016,IA,Other,"LA RIVA, GLORIA ESTELLA",0,Socialism And Liberation Party,323
2016,IA,Other,"MCMULLIN, EVAN",0,Nominated By Petition,12366
2016,IA,Other,"STEIN, JILL",0,Grn,11479
2016,IA,Other,"VACEK, DAN",0,Legal Marijuana Now,2246
2016,IA,R,"TRUMP, DONALD J.",0,R,800983
2016,ID,D,"CLINTON, HILLARY",0,D,189765
2016,ID,Lbt,"JOHNSON, GARY",0,Lbt,28331
2016,ID,Other,"CASTLE, DARRELL L.",0,Constitution Party,2356
2016,ID,Other,"MCMULLIN, EVAN",0,Independent,60748
2016,ID,R,"TRUMP, DONALD J.",0,R,409055
2016,IL,D,"CLINTON, HILLARY",0,D,3090729
2016,IL,Lbt,"JOHNSON, GARY",0,Lbt,209596
2016,IL,Other,"STEIN, JILL",0,Grn,76802
2016,IL,R,"TRUMP, DONALD J.",0,R,2146015
2016,IN,D,"CLINTON, HILLARY",0,D,1033126
2016,IN,Lbt,"JOHNSON, GARY",0,Lbt,133993
2016,IN,R,"TRUMP, DONALD J.",0,R,1557286
2016,KS,D,"CLINTON, HILLARY",0,D,427005
2016,KS,Lbt,"JOHNSON, GARY",0,Lbt,55406
2016,KS,Other,"STEIN, JILL",0,Independent,23506
2016,KS,R,"TRUMP, DONALD J.",0,R,671018
2016,KY,D,"CLINTON, HILLARY",0,D,628854
2016,KY,Lbt,"JOHNSON, GARY",0,Lbt,53752
2016,KY,Other,"DE LA FUENTE, ROQUE (ROCKY)",0,American Delta Party,1128
2016,KY,Other,"MCMULLIN, EVAN",0,Independent,22780
2016,KY,Other,"STEIN, JILL",0,Grn,13913
2016,KY,R,"TRUMP, DONALD J.",0,R,1202971
2016,LA,D,"CLINTON, HILLARY",0,D,780154
2016,LA,Lbt,"JOHNSON, GARY",0,Lbt,37978
2016,LA,Other,"STEIN, JILL",0,Grn,14031
2016,LA,R,"TRUMP, DONALD J.",0,R,1178638
2016,MA,D,"CLINTON, HILLARY",0,D,1995196
2016,MA,Lbt,"JOHNSON, GARY",0,Lbt,138018
2016,MA,Other,"STEIN, JILL",0,Grn,47661
2016,MA,R,"TRUMP, DONALD J.",0,R,1090893
2016,MD,D,"CLINTON, HILLARY",0,D,1677928
2016,MD,Lbt,"JOHNSON, GARY",0,Lbt,79605
2016,MD,Other,"STEIN, JILL",0,Grn,35945
2016,MD,R,"TRUMP, DONALD J.",0,R,943169
2016,ME,D,"CLINTON, HILLARY",0,D,357735
2016,ME,Lbt,"JOHNSON, GARY",0,Lbt,38105
2016,ME,Other,"STEIN, JILL",0,Grn,14251
2016,ME,Other,NA,0,Unenrolled,2243
2016,ME,R,"TRUMP, DONALD J.",0,R,335593
2016,MI,D,"CLINTON, HILLARY",0,D,2268839
2016,MI,Lbt,"JOHNSON, GARY",0,Lbt,172136
2016,MI,Other,"CASTLE, DARRELL L.",0,U.s. Taxpayers Party,16139
2016,MI,Other,"EMIDIO (MIMI"""", SOLTYSIK",0,Natural Law,2209
2016,MI,Other,"STEIN, JILL",0,Grn,51463
2016,MI,R,"TRUMP, DONALD J.",0,R,2279543
2016,MN,D,"CLINTON, HILLARY",0,D,1367705
2016,MN,Lbt,"JOHNSON, GARY",0,Lbt,112972
2016,MN,Other,"CASTLE, DARRELL L.",0,Constitution Party,9456
2016,MN,Other,"DE LA FUENTE, ROQUE (ROCKY)",0,American Delta Party,1430
2016,MN,Other,"KENNEDY, ALYSON",0,Socialist Workers,1671
2016,MN,Other,"MCMULLIN, EVAN",0,Independence,53075
2016,MN,Other,"STEIN, JILL",0,Grn,36986
2016,MN,Other,"VACEK, DAN",0,Legal Marijuana Now,11291
2016,MN,R,"TRUMP, DONALD J.",0,R,1322949
2016,MO,D,"CLINTON, HILLARY",0,D,1071068
2016,MO,Lbt,"JOHNSON, GARY",0,Lbt,97359
2016,MO,Other,"CASTLE, DARRELL L.",0,Constitution Party,13092
2016,MO,Other,"STEIN, JILL",0,Grn,25419
2016,MO,R,"TRUMP, DONALD J.",0,R,1594511
2016,MS,D,"CLINTON, HILLARY",0,D,485131
2016,MS,Lbt,"JOHNSON, GARY",0,Lbt,14435
2016,MS,Other,"CASTLE, DARRELL L.",0,Constitution Party,3987
2016,MS,Other,"DE LA FUENTE, ROQUE (ROCKY)",0,American Delta Party,644
2016,MS,Other,"HEDGES, JAMES",0,Prohibition,715
2016,MS,Other,"STEIN, JILL",0,Grn,3731
2016,MS,R,"TRUMP, DONALD J.",0,R,700714
2016,MT,D,"CLINTON, HILLARY",0,D,177709
2016,MT,Lbt,"JOHNSON, GARY",0,Lbt,28037
2016,MT,Other,"DE LA FUENTE, ROQUE (ROCKY)",0,American Delta Party,1570
2016,MT,Other,"STEIN, JILL",0,Grn,7970
2016,MT,R,"TRUMP, DONALD J.",0,R,279240
2016,NC,D,"CLINTON, HILLARY",0,D,2189316
2016,NC,Lbt,"JOHNSON, GARY",0,Lbt,130126
2016,NC,R,"TRUMP, DONALD J.",0,R,2362631
2016,ND,D,"CLINTON, HILLARY",0,D,93758
2016,ND,Lbt,"JOHNSON, GARY",0,Lbt,21434
2016,ND,Other,"CASTLE, DARRELL L.",0,Constitution Party,1833
2016,ND,Other,"DE LA FUENTE, ROQUE (ROCKY)",0,American Delta Party,364
2016,ND,Other,"STEIN, JILL",0,Grn,3780
2016,ND,R,"TRUMP, DONALD J.",0,R,216794
2016,NE,D,"CLINTON, HILLARY",0,D,284494
2016,NE,Lbt,"JOHNSON, GARY",0,Lbt,38946
2016,NE,Other,"STEIN, JILL",0,Nominated By Petition,8775
2016,NE,R,"TRUMP, DONALD J.",0,R,495961
2016,NH,D,"CLINTON, HILLARY",0,D,348526
2016,NH,Lbt,"JOHNSON, GARY",0,Lbt,30777
2016,NH,Other,"DE LA FUENTE, ROQUE (ROCKY)",0,American Delta Party,678
2016,NH,Other,"STEIN, JILL",0,Grn,6496
2016,NH,R,"TRUMP, DONALD J.",0,R,345790
2016,NJ,D,"CLINTON, HILLARY",0,D,2148278
2016,NJ,Lbt,"JOHNSON, GARY",0,Lbt,72477
2016,NJ,Other,"CASTLE, DARRELL L.",0,Constitution Party,6161
2016,NJ,Other,"DE LA FUENTE, ROQUE (ROCKY)",0,American Delta Party,1838
2016,NJ,Other,"KENNEDY, ALYSON",0,Socialist Workers,2156
2016,NJ,Other,"LA RIVA, GLORIA ESTELLA",0,Socialism And Liberation Party,1682
2016,NJ,Other,"MOOREHEAD, MONICA",0,Workers World Party,1749
2016,NJ,Other,"STEIN, JILL",0,Grn,37772
2016,NJ,R,"TRUMP, DONALD J.",0,R,1601933
2016,NM,D,"CLINTON, HILLARY",0,D,385234
2016,NM,Lbt,"JOHNSON, GARY",0,Lbt,74541
2016,NM,Other,"CASTLE, DARRELL L.",0,Constitution Party,1514
2016,NM,Other,"DE LA FUENTE, ROQUE (ROCKY)",0,American Delta Party,475
2016,NM,Other,"LA RIVA, GLORIA ESTELLA",0,Socialism And Liberation Party,1184
2016,NM,Other,"MCMULLIN, EVAN",0,Better For America,5825
2016,NM,Other,"STEIN, JILL",0,Grn,9879
2016,NM,R,"TRUMP, DONALD J.",0,R,319667
2016,NV,D,"CLINTON, HILLARY",0,D,539260
2016,NV,Lbt,"JOHNSON, GARY",0,Lbt,37384
2016,NV,Other,"DE LA FUENTE, ROQUE (ROCKY)",0,No Party Affiliation,2552
2016,NV,Other,"KOPITKE, KYLE KENLEY",0,Independent American,5268
2016,NV,R,"TRUMP, DONALD J.",0,R,512058
2016,NY,D,"CLINTON, HILLARY",0,"D, Working Families",4519830
2016,NY,Lbt,"JOHNSON, GARY",0,Lbt,57442
2016,NY,Other,"CLINTON, HILLARY",0,Women's Equality,36294
2016,NY,Other,"JOHNSON, GARY",0,Independence,119156
2016,NY,Other,"STEIN, JILL",0,Grn,107934
2016,NY,R,"TRUMP, DONALD J.",0,"R, Conservative",2819534
2016,OH,D,"CLINTON, HILLARY",0,D,2394164
2016,OH,Other,"STEIN, JILL",0,Grn,46271
2016,OH,Other,NA,0,No Party Affiliation,198733
2016,OH,R,"TRUMP, DONALD J.",0,R,2841005
2016,OK,D,"CLINTON, HILLARY",0,D,420375
2016,OK,Lbt,"JOHNSON, GARY",0,Lbt,83481
2016,OK,R,"TRUMP, DONALD J.",0,R,949136
2016,OR,D,"CLINTON, HILLARY",0,D,1002106
2016,OR,Lbt,"JOHNSON, GARY",0,Lbt,94231
2016,OR,Other,"STEIN, JILL",0,Grn,50002
2016,OR,R,"TRUMP, DONALD J.",0,R,782403
2016,PA,D,"CLINTON, HILLARY",0,D,2926441
2016,PA,Lbt,"JOHNSON, GARY",0,Lbt,146715
2016,PA,Other,"CASTLE, DARRELL L.",0,Constitution Party,21572
2016,PA,Other,"STEIN, JILL",0,Grn,49941
2016,PA,R,"TRUMP, DONALD J.",0,R,2970733
2016,RI,D,"CLINTON, HILLARY",0,D,252525
2016,RI,Lbt,"JOHNSON, GARY",0,Lbt,14746
2016,RI,Other,"DE LA FUENTE, ROQUE (ROCKY)",0,American Delta Party,671
2016,RI,Other,"STEIN, JILL",0,Grn,6220
2016,RI,R,"TRUMP, DONALD J.",0,R,180543
2016,SC,D,"CLINTON, HILLARY",0,D,855373
2016,SC,Lbt,"JOHNSON, GARY",0,Lbt,49204
2016,SC,Other,"CASTLE, DARRELL L.",0,Constitution Party,5765
2016,SC,Other,"MCMULLIN, EVAN",0,Independence,21016
2016,SC,Other,"SKEWES, PETER",0,American,3246
2016,SC,Other,"STEIN, JILL",0,Grn,13034
2016,SC,R,"TRUMP, DONALD J.",0,R,1155389
2016,SD,D,"CLINTON, HILLARY",0,D,117458
2016,SD,Lbt,"JOHNSON, GARY",0,Lbt,20850
2016,SD,Other,"CASTLE, DARRELL L.",0,Constitution Party,4064
2016,SD,R,"TRUMP, DONALD J.",0,R,227721
2016,TN,D,"CLINTON, HILLARY",0,D,870695
2016,TN,Other,NA,0,Independent,100618
2016,TN,R,"TRUMP, DONALD J.",0,R,1522925
2016,TX,D,"CLINTON, HILLARY",0,D,3877868
2016,TX,Lbt,"JOHNSON, GARY",0,Lbt,283492
2016,TX,Other,"STEIN, JILL",0,Grn,71558
2016,TX,R,"TRUMP, DONALD J.",0,R,4685047
2016,UT,D,"CLINTON, HILLARY",0,D,310674
2016,UT,Lbt,"JOHNSON, GARY",0,Lbt,39608
2016,UT,Other,"CASTLE, DARRELL L.",0,Constitution Party,8032
2016,UT,Other,"KOPITKE, KYLE KENLEY",0,Independent American,2732
2016,UT,Other,"MCMULLIN, EVAN",0,No Party Affiliation,255060
2016,UT,R,"TRUMP, DONALD J.",0,R,515211
2016,VA,D,"CLINTON, HILLARY",0,D,1981473
2016,VA,Lbt,"JOHNSON, GARY",0,Lbt,118274
2016,VA,Other,"MCMULLIN, EVAN",0,Independent,54054
2016,VA,Other,"STEIN, JILL",0,Grn,27638
2016,VA,R,"TRUMP, DONALD J.",0,R,1769443
2016,VT,D,"CLINTON, HILLARY",0,D,178573
2016,VT,Lbt,"JOHNSON, GARY",0,Lbt,10078
2016,VT,Other,"DE LA FUENTE, ROQUE (ROCKY)",0,Independent,1063
2016,VT,Other,"LA RIVA, GLORIA ESTELLA",0,Liberty Union Party,327
2016,VT,Other,"STEIN, JILL",0,Grn,6758
2016,VT,R,"TRUMP, DONALD J.",0,R,95369
2016,WA,D,"CLINTON, HILLARY",0,D,1742718
2016,WA,Lbt,"JOHNSON, GARY",0,Lbt,160879
2016,WA,Other,"CASTLE, DARRELL L.",0,Constitution Party,17623
2016,WA,Other,"KENNEDY, ALYSON",0,Socialist Workers,4307
2016,WA,Other,"LA RIVA, GLORIA ESTELLA",0,Socialism And Liberation Party,3523
2016,WA,Other,"STEIN, JILL",0,Grn,58417
2016,WA,R,"TRUMP, DONALD J.",0,R,1221747
2016,WI,D,"CLINTON, HILLARY",0,D,1382536
2016,WI,Lbt,"JOHNSON, GARY",0,Lbt,106674
2016,WI,Other,"CASTLE, DARRELL L.",0,Constitution Party,12162
2016,WI,Other,"DE LA FUENTE, ROQUE (ROCKY)",0,American Delta Party,1502
2016,WI,Other,"MOOREHEAD, MONICA",0,Workers World Party,1770
2016,WI,Other,"STEIN, JILL",0,Grn,31072
2016,WI,R,"TRUMP, DONALD J.",0,R,1405284
2016,WV,D,"CLINTON, HILLARY",0,D,188794
2016,WV,Lbt,"JOHNSON, GARY",0,Lbt,23004
2016,WV,Other,"CASTLE, DARRELL L.",0,Constitution Party,3807
2016,WV,Other,"STEIN, JILL",0,Grn,8075
2016,WV,R,"TRUMP, DONALD J.",0,R,489371
2016,WY,D,"CLINTON, HILLARY",0,D,55973
2016,WY,Lbt,"JOHNSON, GARY",0,Lbt,13287
2016,WY,Other,"CASTLE, DARRELL L.",0,Constitution Party,2042
2016,WY,Other,NA,0,Independent,3224
2016,WY,R,"TRUMP, DONALD J.",0,R,174419
2020,AK,D,"BIDEN, JOSEPH R., JR.",0,D,153778
2020,AK,Lbt,"JORGENSEN, JO",0,Lbt,8897
2020,AK,Other,"BLANKENSHIP, DON",0,Constitution Party,1127
2020,AK,Other,"DE LA FUENTE, ROQUE (ROCKY)",0,Alliance,318
2020,AK,Other,"JANOS, JAMES G. (JESSE VENTURA)",0,Grn,2673
2020,AK,Other,"PIERCE, BROCK",0,Independent,825
2020,AK,R,"TRUMP, DONALD J.",1,R,189951
